#mm10.knownGene.name	mm10.knownGene.proteinID	mm10.kgXref.geneSymbol	mm10.kgXref.refseq	mm10.kgXref.protAcc
uc007aey.1	Q61473	Sox17	NM_001289467	NP_001276396
uc009ekl.2	A0A0R4J0A9	Lrp6	NM_008514	NP_032540
uc012ejf.1		Ahcyl2		
uc009ifh.2	O35409	Folh1	NM_016770	NP_058050
uc009ifx.2	Q61088	Fzd4	NM_008055	NP_032081
uc009ikx.2	P48615	Wnt11	NM_009519	NP_001272723
uc009ipk.2	Q05685	Folr2	NM_008035	NP_032061
uc009ipm.1	P35846	Folr1	NM_008034	NP_032060
uc009ipn.2	P35846	Folr1	NM_001252553	NP_032060
uc009ipo.2	P35846	Folr1	NM_008034	NP_032060
uc009kcy.1	P56546	Ctbp2	NM_009980	NP_034110
uc009kcz.1	P56546	Ctbp2	NM_009980	NP_034110
uc009kqq.1	P11403	Fgf4	NM_010202	NP_034332
uc009kqt.1	P25322	Ccnd1	NM_007631	NP_031657
uc012fop.1	Q0VDM6	Folh1	NM_001159706	NP_001153178
uc012fpu.1	NP_001272724	Wnt11	NM_001285795	NP_001272724
uc012fqo.2	P35846	Folr1	NM_001252552	NP_032060
uc012fve.1	P56546-2	Ctbp2	NM_001170744	NP_001164215
uc012fyc.1	B2M0W7	Ccnd1	NM_007631	NP_031657
uc029wnj.1	P35846	Folr1	NM_001252554	NP_032060
uc009lev.2	Q8C4U3	Sfrp1	NM_013834	NP_038862
uc009mro.2	Q99MH6	Nkd1	NM_027280	NP_001157132
uc009not.1	Q91WK5	Gcsh	NM_026572	NP_080848
uc009nwm.1	Q9EQT3	Rhou	NM_133955	NP_598716
uc012gia.1	NP_001157132	Nkd1	NM_001163660	NP_001157132
uc009ojn.2	NP_001186362	Dnmt1	NM_001199433	NP_001186362
uc009ojo.2	NP_001186362	Dnmt1	NM_001199433	NP_001186362
uc009ojp.2	NP_034196	Dnmt1	NM_010066	NP_034196
uc009ojq.2	P13864	Dnmt1	NM_001199431	NP_001186362
uc009ojr.3	Q7TSJ0	Dnmt1	NM_001314011	NP_001300940
uc009ojs.2	J3QNW0	Dnmt1	NM_001199432	NP_001186361
uc009ozx.3	P63017	Hspa8	NM_031165	NP_112442
uc009ozy.3	Q504P4	Hspa8	NM_031165	NP_112442
uc009ozz.1	Q3TB63	Hspa8		
uc009pkb.1	Q80Y83-11	Dixdc1	NM_001311069	NP_001297998
uc009pkc.2	Q80Y83	Dixdc1	NM_178118	NP_835219
uc009pkd.1	Q80Y83-3	Dixdc1	NM_001311069	NP_001297998
uc009pke.1	Q80Y83-15	Dixdc1	NM_001311069	NP_001297998
uc009pkf.2	NP_835219	Dixdc1	NM_178118	NP_835219
uc009pkg.2	F2Z453	Dixdc1		
uc009pkh.1	Q80Y83-16	Dixdc1		
uc009qqi.1	Q9D0P5	Pygo1	NM_028116	NP_082392
uc009qzk.1	Q9D110	Mthfs	NM_026829	NP_081105
uc009qzl.1	B2KF83	Mthfs	NM_026829	NP_081105
uc009qzm.1	Q9D110	Mthfs	NM_026829	NP_081105
uc009rpc.1	Q8CFA2	Amt	NM_001013814	NP_001013836
uc009sct.2	E9Q6A9	Ctnnb1	NM_007614	NP_031640
uc009scu.2	Q02248	Ctnnb1	NM_007614	NP_031640
uc009scv.2	F7CRC6	Ctnnb1		
uc012hcn.1	Q02248	Ctnnb1	NM_001165902	NP_031640
uc009soj.3	Q9JJJ7	Porcn	NM_023638	NP_076127
uc009sok.3	Q9JJJ7-2	Porcn	NM_145908	NP_665915
uc009sol.3	Q9JJJ7-3	Porcn	NM_145907	NP_665914
uc009som.3	Q9JJJ7-4	Porcn	NM_016913	NP_058609
uc009son.3		Porcn	NM_001308474	
uc012heo.2	Q9JJJ7-5	Porcn	NM_001308474	NP_001295403
uc007ehj.2	Q3V3R1	Mthfd1l	NM_172308	NP_758512
uc007ehk.2	Q3V3R1	Mthfd1l	NM_001170786	NP_758512
uc007fut.2	Q91XD4	Ftcd	NM_080845	NP_543121
uc007fvc.2	P41438	Slc19a1	NM_001199271	NP_112473
uc007fvd.2	P41438	Slc19a1	NM_031196	NP_112473
uc007fve.1	E9Q8X6	Slc19a1	NM_031196	NP_112473
uc007fvf.2	NP_112473	Slc19a1	NM_031196	NP_112473
uc007gio.2	Q3UN01	Tle2	NM_001252401	NP_001239330
uc007giq.2	Q5DTI7	Tle2		
uc007gir.2	E9PV07	Tle2	NM_001252401	NP_001239330
uc007gis.2	Q9WVB2	Tle2	NM_019725	NP_062699
uc007gwm.1	P61089	Ube2n	NM_080560	NP_542127
uc007gwn.1		Ube2n		
uc007hfj.2	Q9WUA1	Wif1	NM_011915	NP_036045
uc007hfk.1	Q99KR2	Wif1	NM_011915	NP_036045
uc007hiz.2	Q68FL6	Mars	NM_001003913	NP_001003913
uc007hju.2	Q9CZN7	Shmt2	NM_028230	NP_082506
uc007hjv.2	Q3TFD0	Shmt2	NM_001252316	NP_001239245
uc011wzu.1	Q3V3R1	Mthfd1l	NM_001170785	NP_758512
uc011xpp.1	E9QB02	Mars	NM_001171582	NP_001165053
uc007htx.2	O88968	Tcn2	NM_001130459	NP_056564
uc007hty.2	O88968	Tcn2	NM_015749	NP_056564
uc007htz.2	O88968	Tcn2	NM_001130458	NP_056564
uc007hwh.1	Q99N43	Kremen1	NM_032396	NP_115772
uc007hwi.1		Kremen1		
uc007ilp.2	Q99LB6	Mat2b	NM_134017	NP_598778
uc007ilq.2	Q99LB6-2	Mat2b	NM_001199274	NP_001186203
uc007ilr.2		Mat2b		
uc007ivb.1	P63330	Ppp2ca	NM_019411	NP_062284
uc007ivh.1	B7ZNN3	Tcf7	NM_009331	NP_033357
uc007ivi.1	Q8CAQ6	Tcf7		
uc007ivj.3	NP_033357	Tcf7	NM_009331	NP_033357
uc007ivk.2	NP_001300910	Tcf7	NM_001313981	NP_001300910
uc007ivl.1		Tcf7		
uc007jdp.2	P27467	Wnt3a	NM_009522	NP_033548
uc007jdq.1	Q8R5M2	Wnt9a	NM_139298	NP_647459
uc007jgo.1	P50431	Shmt1	NM_009171	NP_033197
uc007jgp.1	P50431	Shmt1	NM_009171	NP_033197
uc007jtl.1	Q3V330	Dvl2	NM_007888	NP_031914
uc007jtm.1	Q60838	Dvl2	NM_007888	NP_031914
uc007jtn.1		Dvl2	NM_007888	
uc007kjg.2	Q6PEM8	Slc46a1	NM_026740	NP_081016
uc007kjw.1	O54949	Nlk	NM_008702	NP_032728
uc007kjx.1	NP_032728	Nlk	NM_008702	NP_032728
uc007lvs.2	P17553	Wnt3	NM_009521	NP_033547
uc007mgp.1	P70441	Slc9a3r1	NM_012030	NP_036160
uc007mgq.1		Slc9a3r1		
uc007muz.1	Q3USK2	Csnk1d	NM_139059	NP_620690
uc007mva.1	Q3UBT6	Csnk1d	NM_027874	NP_082150
uc007mvb.1	Q9DC28	Csnk1d	NM_139059	NP_620690
uc011xvn.1	Q8R5M2	Wnt9a	NM_139298	NP_647459
uc011yft.1	Q9JIP6	Fzd2	NM_020510	NP_065256
uc007mxa.2	Q3TYD7	Dnmt3a		
uc007mxb.1	O88508	Dnmt3a	NM_007872	NP_714965
uc007mxc.1	O88508	Dnmt3a	NM_001271753	NP_714965
uc007mxd.1	NP_714965	Dnmt3a	NM_153743	NP_714965
uc007nxz.2	Q922D8	Mthfd1	NM_138745	NP_620084
uc011yny.1	Q922D8	Mthfd1		
uc007plg.2	Q8BUC4	Mtr		
uc007plh.2	A6H5Y3	Mtr	NM_001081128	NP_001074597
uc007ppg.2	Q9Z1N6	Sfrp4	NM_016687	NP_057896
uc007pph.2	Q8CAH7	Sfrp4	NM_016687	NP_057896
uc007rby.2	A0A0R4J0G9	Mtrr	NM_172480	NP_766068
uc007rbz.2		Mtrr	NR_131892	
uc007rkl.1	P00375	Dhfr	NM_010049	NP_034179
uc007rli.1	O35490	Bhmt	NM_016668	NP_057877
uc007rlj.1	Q3UEP0	Bhmt		
uc007rll.1	Q9DBT9	Dmgdh	NM_028772	NP_083048
uc011ywd.2		Mtr		
uc057bdm.1	A0A0R4J0G9	Mtrr	NM_001308475	NP_001295404
uc007sug.2	P22725	Wnt5a	NM_009524	NP_001243153
uc007suh.2	NP_001243153	Wnt5a	NM_001256224	NP_001243153
uc007ujb.2	Q61086	Fzd3	NM_021458	NP_067433
uc007vny.2	Q61089	Fzd6	NM_008056	NP_032082
uc007vnz.2	Q61089	Fzd6	NM_001162494	NP_032082
uc007vob.2	Q8BMG8	Slc25a32	NM_172402	NP_765990
uc007vyi.1	P01108	Myc	NM_001177354	NP_001170825
uc007wau.1	O54775	Wisp1	NM_018865	NP_061353
uc007wav.1		Wisp1		
uc007waw.1		Wisp1		
uc007wwr.1	Q8BJ14	Ep300		
uc007wws.1	B2RWS6	Ep300	NM_177821	NP_808489
uc007wwt.1		Ep300		
uc007xde.2	Q6NZR1	Wnt7b	NM_001163634	NP_001157105
uc007xdf.2	P28047	Wnt7b	NM_009528	NP_001157105
uc007xdg.2	Q6PDY6	Wnt7b		
uc007xnx.1	P04426	Wnt1	NM_021279	NP_067254
uc011zsj.1	Q3T9D8	Slc25a32	NM_172402	NP_765990
uc011zxl.1	NP_001157105	Wnt7b	NM_001163633	NP_001157105
uc007yrw.2	Q91ZX6	Senp2	NM_029457	NP_083733
uc007yrx.2	Q91ZX6-2	Senp2	NR_027488	
uc007yry.2	Q91ZX6-3	Senp2		
uc007zen.1	Q9WV60	Gsk3b	NM_019827	NP_062801
uc007zeo.1	NP_062801	Gsk3b	NM_019827	NP_062801
uc007zxu.1	Q64737	Gart	NM_010256	NP_034386
uc007zxv.1	Q64737	Gart	NM_010256	NP_034386
uc007zxw.1	Q3TH49	Gart	NM_010256	NP_034386
uc007zxx.1	Q3TH49	Gart	NM_010256	NP_034386
uc012adm.1	Q91ZX6	Senp2		
uc008ajq.1	P20293	T	NM_009309	NP_033335
uc008aqi.1	Q76MZ3	Ppp2r1a	NM_016891	NP_058587
uc008bai.2	P63280	Ube2i	NM_001177609	NP_035795
uc008baj.2	P63280	Ube2i	NM_001177610	NP_035795
uc008bak.2	P63280	Ube2i	NM_011665	NP_035795
uc008bdm.2	E9QMJ8	Axin1	NM_009733	NP_033863
uc008bdn.2	Q14DJ8	Axin1	NM_001159598	NP_001153070
uc008cua.2	Q91V89	Ppp2r5d	NM_009358	NP_033384
uc008cub.2	Q7TNL5	Ppp2r5d	NM_009358	NP_033384
uc008cuc.1	Q921X5	Ppp2r5d		
uc008cue.1	Q9QXF8	Gnmt	NM_010321	NP_034451
uc008cvk.1	P30282	Ccnd3	NM_001081636	NP_031658
uc008cvl.1	P30282	Ccnd3	NM_001081635	NP_031658
uc008cvm.1	P30282	Ccnd3	NM_007632	NP_031658
uc008cvo.1	S4R240	Ccnd3		
uc008cvp.1	P30282	Ccnd3	NM_007632	NP_031658
uc008eag.2	Q61091	Fzd8	NM_008058	NP_032084
uc008ekd.1	Q8BRD8	Apc		
uc008eke.2	B2RUG9	Apc	NM_007462	NP_031488
uc008ekf.1	Q8C493	Apc		
uc008ekq.2	Q0VBT1	Wnt8a	NM_009290	NP_033316
uc008fcb.1		Csnk1a1		
uc008fcc.1	Q8BK63	Csnk1a1	NM_146087	NP_666199
uc008fcd.1	Q6PJ87	Csnk1a1	NM_146087	NP_666199
uc008fce.1	Q8BK63	Csnk1a1	NM_146087	NP_666199
uc008fwq.2	Q91VN0	Lrp5	NM_008513	NP_032539
uc008fwr.2	H3BL52	Lrp5	NM_008513	NP_032539
uc008gdc.1	P48755	Fosl1	NM_010235	NP_034365
uc008hen.2	O54908	Dkk1	NM_010051	NP_034181
uc008hmi.2	P70339	Frat1	NM_008043	NP_032069
uc008hpt.2	Q8BQD1	Wnt8b	NM_011720	NP_035850
uc008hqw.2		Btrc		
uc008hqx.2	Q3ULA2	Btrc	NM_001286466	NP_001273395
uc008hqy.2	Q3ULA2	Btrc	NM_001037758	NP_001273395
uc008hqz.2	Q3ULA2-2	Btrc	NM_009771	NP_001273395
uc008hra.2	Q3ULA2	Btrc	NM_001286466	NP_001273395
uc008hrf.1	Q9JMJ2	Fbxw4	NM_013907	NP_038935
uc012bfx.1		Lrp5		
uc012bmn.1	NP_001273395	Btrc	NM_001286466	NP_001273395
