#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Shmt2	Gart	2096621	2095908	10090.ENSMUSP00000026470	10090.ENSMUSP00000023684	0.173	0	0	0	0.935	0	0.900	0.566	0.997
Lrp6	Wnt3a	2098447	2094044	10090.ENSMUSP00000032322	10090.ENSMUSP00000010044	0	0	0	0	0	0.372	0.954	0.932	0.997
Fzd5	Wnt5a	2104983	2104589	10090.ENSMUSP00000067783	10090.ENSMUSP00000064878	0	0	0	0	0	0.347	0.900	0.964	0.997
Gart	Shmt1	2095908	2094559	10090.ENSMUSP00000023684	10090.ENSMUSP00000018744	0.173	0	0	0	0.936	0	0.900	0.629	0.997
Wnt7b	Fzd1	2111258	2103611	10090.ENSMUSP00000105051	10090.ENSMUSP00000058629	0	0	0	0	0	0.620	0.882	0.951	0.997
Mthfd1	Shmt1	2095182	2094559	10090.ENSMUSP00000021443	10090.ENSMUSP00000018744	0.560	0	0	0	0.562	0.606	0.900	0.715	0.997
Fzd4	Wnt2	2102112	2094091	10090.ENSMUSP00000049852	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.939	0.946	0.997
Csnk1a1	Axin1	2113706	2105990	10090.ENSMUSP00000128871	10090.ENSMUSP00000073974	0	0	0	0	0	0.613	0.954	0.852	0.997
Wnt5a	Fzd4	2104589	2102112	10090.ENSMUSP00000064878	10090.ENSMUSP00000049852	0	0	0	0	0	0.662	0.954	0.831	0.997
Sfrp2	Wnt3a	2097579	2094044	10090.ENSMUSP00000029625	10090.ENSMUSP00000010044	0	0	0	0	0	0.576	0.900	0.938	0.997
Dvl1	Dvl2	2098025	2094637	10090.ENSMUSP00000030948	10090.ENSMUSP00000019362	0	0	0	0.950	0	0.953	0.954	0.789	0.997
Fzd5	Wnt7a	2104983	2098401	10090.ENSMUSP00000067783	10090.ENSMUSP00000032180	0	0	0	0	0	0.257	0.886	0.971	0.997
Wnt7b	Fzd4	2111258	2102112	10090.ENSMUSP00000105051	10090.ENSMUSP00000049852	0	0	0	0	0	0.827	0.879	0.853	0.996
Mthfd1l	Shmt2	2099574	2096621	10090.ENSMUSP00000036178	10090.ENSMUSP00000026470	0.560	0	0	0	0.390	0.606	0.900	0.686	0.996
Ep300	Ctnnb1	2104849	2093883	10090.ENSMUSP00000066789	10090.ENSMUSP00000007130	0	0	0	0	0	0.632	0.961	0.786	0.996
Fzd8	Wnt1	2100231	2095926	10090.ENSMUSP00000039660	10090.ENSMUSP00000023734	0	0	0	0	0	0.802	0.947	0.687	0.996
Paics	Atic	2098091	2096883	10090.ENSMUSP00000031160	10090.ENSMUSP00000027384	0.587	0	0.217	0	0.969	0.077	0	0.672	0.996
Ppp2ca	Ppp2r5d	2094923	2093420	10090.ENSMUSP00000020608	10090.ENSMUSP00000002839	0	0	0	0	0	0.955	0.872	0.492	0.996
Axin1	Wnt3a	2105990	2094044	10090.ENSMUSP00000073974	10090.ENSMUSP00000010044	0	0	0	0	0	0.232	0.947	0.909	0.995
Nkd1	Dvl2	2098988	2094637	10090.ENSMUSP00000034086	10090.ENSMUSP00000019362	0	0	0	0	0	0.828	0.901	0.744	0.995
Fzd2	Wnt7a	2108516	2098401	10090.ENSMUSP00000091463	10090.ENSMUSP00000032180	0	0	0	0	0	0.257	0.882	0.951	0.995
Mthfd1l	Shmt1	2099574	2094559	10090.ENSMUSP00000036178	10090.ENSMUSP00000018744	0.560	0	0	0	0.278	0.606	0.900	0.686	0.995
Fzd2	Wnt5a	2108516	2104589	10090.ENSMUSP00000091463	10090.ENSMUSP00000064878	0	0	0	0	0	0.273	0.954	0.882	0.995
Wnt7b	Fzd2	2111258	2108516	10090.ENSMUSP00000105051	10090.ENSMUSP00000091463	0	0	0	0	0	0.257	0.882	0.955	0.995
Fzd9	Wnt7a	2102740	2098401	10090.ENSMUSP00000053551	10090.ENSMUSP00000032180	0	0	0	0	0	0.257	0.882	0.954	0.995
Fzd1	Wnt1	2103611	2095926	10090.ENSMUSP00000058629	10090.ENSMUSP00000023734	0	0	0	0	0	0.620	0.961	0.689	0.995
Shmt2	Mthfd1	2096621	2095182	10090.ENSMUSP00000026470	10090.ENSMUSP00000021443	0.560	0	0	0	0.463	0.606	0.900	0.607	0.995
Dkk1	Wnt1	2096415	2095926	10090.ENSMUSP00000025803	10090.ENSMUSP00000023734	0	0	0	0	0	0.510	0.954	0.759	0.994
Fzd1	Dvl1	2103611	2098025	10090.ENSMUSP00000058629	10090.ENSMUSP00000030948	0	0	0	0	0	0.300	0.961	0.796	0.994
Axin1	Dvl2	2105990	2094637	10090.ENSMUSP00000073974	10090.ENSMUSP00000019362	0	0	0	0.611	0.130	0.792	0.954	0.897	0.994
Ep300	Jun	2104849	2102864	10090.ENSMUSP00000066789	10090.ENSMUSP00000054270	0	0	0	0	0	0.928	0.628	0.798	0.994
Mtr	Mthfr	2109768	2105247	10090.ENSMUSP00000097442	10090.ENSMUSP00000069774	0.587	0	0	0	0.630	0	0.900	0.705	0.994
Dmgdh	Gcsh	2100232	2099753	10090.ENSMUSP00000039663	10090.ENSMUSP00000037131	0.469	0	0	0	0.965	0.525	0	0.421	0.994
Wnt5a	Fzd7	2104589	2100625	10090.ENSMUSP00000064878	10090.ENSMUSP00000041825	0	0	0	0	0	0.273	0.954	0.838	0.994
Dvl1	Wnt1	2098025	2095926	10090.ENSMUSP00000030948	10090.ENSMUSP00000023734	0	0	0	0	0	0.270	0.961	0.822	0.994
Gart	Mthfd2	2095908	2093734	10090.ENSMUSP00000023684	10090.ENSMUSP00000005810	0.587	0	0	0	0.667	0	0.900	0.583	0.993
Sardh	Gcsh	2110430	2099753	10090.ENSMUSP00000099950	10090.ENSMUSP00000037131	0.454	0	0	0	0.965	0.525	0	0.328	0.993
Lrp6	Dvl2	2098447	2094637	10090.ENSMUSP00000032322	10090.ENSMUSP00000019362	0	0	0	0	0	0.268	0.954	0.816	0.993
Dvl1	Gsk3b	2098025	2095854	10090.ENSMUSP00000030948	10090.ENSMUSP00000023507	0	0	0	0	0	0.114	0.954	0.861	0.993
Fzd1	Lrp6	2103611	2098447	10090.ENSMUSP00000058629	10090.ENSMUSP00000032322	0	0	0	0	0	0.165	0.961	0.803	0.993
Wnt5a	Dvl2	2104589	2094637	10090.ENSMUSP00000064878	10090.ENSMUSP00000019362	0	0	0	0	0	0.270	0.954	0.825	0.993
Fzd4	Lrp6	2102112	2098447	10090.ENSMUSP00000049852	10090.ENSMUSP00000032322	0	0	0	0	0	0.165	0.947	0.848	0.992
Fzd2	Lrp6	2108516	2098447	10090.ENSMUSP00000091463	10090.ENSMUSP00000032322	0	0	0	0	0	0.165	0.954	0.815	0.992
Dkk1	Wnt3	2096415	2093060	10090.ENSMUSP00000025803	10090.ENSMUSP00000000127	0	0	0	0	0	0.565	0.493	0.969	0.992
Gsk3b	Wnt3a	2095854	2094044	10090.ENSMUSP00000023507	10090.ENSMUSP00000010044	0	0	0	0	0	0.246	0.943	0.837	0.992
Fzd2	Dvl2	2108516	2094637	10090.ENSMUSP00000091463	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.954	0.776	0.992
Jun	Gsk3b	2102864	2095854	10090.ENSMUSP00000054270	10090.ENSMUSP00000023507	0	0	0	0	0	0.699	0.559	0.947	0.992
Dvl2	Wnt3a	2094637	2094044	10090.ENSMUSP00000019362	10090.ENSMUSP00000010044	0	0	0	0	0	0.270	0.941	0.844	0.992
Tcf7	Ctnnb1	2107629	2093883	10090.ENSMUSP00000084055	10090.ENSMUSP00000007130	0	0	0	0	0	0.597	0.908	0.787	0.991
Fzd2	Dvl1	2108516	2098025	10090.ENSMUSP00000091463	10090.ENSMUSP00000030948	0	0	0	0	0	0.300	0.946	0.796	0.991
Wnt5a	Sfrp1	2104589	2098938	10090.ENSMUSP00000064878	10090.ENSMUSP00000033952	0	0	0	0	0	0.638	0.800	0.889	0.991
Fzd1	Wnt3a	2103611	2094044	10090.ENSMUSP00000058629	10090.ENSMUSP00000010044	0	0	0	0	0	0.257	0.954	0.759	0.991
Tyms	Dhfr	2096725	2095430	10090.ENSMUSP00000026846	10090.ENSMUSP00000022218	0.454	0	0.511	0	0.414	0	0.900	0.512	0.990
Csnk1a1	Ctnnb1	2113706	2093883	10090.ENSMUSP00000128871	10090.ENSMUSP00000007130	0	0	0	0	0.130	0.165	0.954	0.760	0.990
Wnt1	Dvl2	2095926	2094637	10090.ENSMUSP00000023734	10090.ENSMUSP00000019362	0	0	0	0	0	0.270	0.950	0.744	0.990
Wnt7a	Dkk1	2098401	2096415	10090.ENSMUSP00000032180	10090.ENSMUSP00000025803	0	0	0	0	0	0.565	0.389	0.967	0.990
Ccnd1	Gsk3b	2108527	2095854	10090.ENSMUSP00000091495	10090.ENSMUSP00000023507	0	0	0	0	0	0.564	0.900	0.802	0.990
Fzd7	Dvl2	2100625	2094637	10090.ENSMUSP00000041825	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.954	0.735	0.990
Fzd5	Wnt3a	2104983	2094044	10090.ENSMUSP00000067783	10090.ENSMUSP00000010044	0	0	0	0	0	0.257	0.943	0.792	0.990
Nlk	Ctnnb1	2112758	2093883	10090.ENSMUSP00000119345	10090.ENSMUSP00000007130	0	0	0	0	0	0.299	0.961	0.662	0.990
Wnt4	Wif1	2099636	2094864	10090.ENSMUSP00000036580	10090.ENSMUSP00000020439	0	0	0	0	0	0.088	0.944	0.811	0.989
Wnt1	Gsk3b	2095926	2095854	10090.ENSMUSP00000023734	10090.ENSMUSP00000023507	0	0	0	0	0	0.246	0.928	0.816	0.989
Fzd7	Wnt3a	2100625	2094044	10090.ENSMUSP00000041825	10090.ENSMUSP00000010044	0	0	0	0	0	0.303	0.941	0.765	0.989
Axin1	Fzd1	2105990	2103611	10090.ENSMUSP00000073974	10090.ENSMUSP00000058629	0	0	0	0	0	0	0.928	0.863	0.989
Fzd5	Lrp6	2104983	2098447	10090.ENSMUSP00000067783	10090.ENSMUSP00000032322	0	0	0	0	0	0.400	0.894	0.850	0.989
Gsk3b	Dvl2	2095854	2094637	10090.ENSMUSP00000023507	10090.ENSMUSP00000019362	0	0	0	0	0	0.114	0.954	0.772	0.989
Ccnd1	Myc	2108527	2095683	10090.ENSMUSP00000091495	10090.ENSMUSP00000022971	0	0	0	0	0	0	0.886	0.911	0.989
Wnt5a	Dvl1	2104589	2098025	10090.ENSMUSP00000064878	10090.ENSMUSP00000030948	0	0	0	0	0	0.270	0.559	0.970	0.989
Lrp6	Wnt3	2098447	2093060	10090.ENSMUSP00000032322	10090.ENSMUSP00000000127	0	0	0	0	0	0.372	0.908	0.831	0.989
Shmt2	Mthfd2	2096621	2093734	10090.ENSMUSP00000026470	10090.ENSMUSP00000005810	0.454	0	0	0	0.482	0.228	0.900	0.581	0.989
Axin1	Wnt1	2105990	2095926	10090.ENSMUSP00000073974	10090.ENSMUSP00000023734	0	0	0	0	0	0.232	0.928	0.820	0.989
Wif1	Wnt3a	2094864	2094044	10090.ENSMUSP00000020439	10090.ENSMUSP00000010044	0	0	0	0	0	0.088	0.947	0.779	0.988
Fzd2	Wnt3a	2108516	2094044	10090.ENSMUSP00000091463	10090.ENSMUSP00000010044	0	0	0	0	0	0.257	0.941	0.766	0.988
Fzd7	Wnt7a	2100625	2098401	10090.ENSMUSP00000041825	10090.ENSMUSP00000032180	0	0	0	0	0	0.662	0.882	0.721	0.988
Fzd8	Lrp6	2100231	2098447	10090.ENSMUSP00000039660	10090.ENSMUSP00000032322	0	0	0	0	0	0.400	0.894	0.833	0.988
Shmt1	Mthfd2	2094559	2093734	10090.ENSMUSP00000018744	10090.ENSMUSP00000005810	0.454	0	0	0	0.278	0.228	0.900	0.672	0.988
Fzd1	Dvl2	2103611	2094637	10090.ENSMUSP00000058629	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.946	0.726	0.988
Dvl1	Fzd6	2098025	2095664	10090.ENSMUSP00000030948	10090.ENSMUSP00000022906	0	0	0	0	0	0.300	0.908	0.817	0.987
Fzd8	Wnt3	2100231	2093060	10090.ENSMUSP00000039660	10090.ENSMUSP00000000127	0	0	0	0	0	0.257	0.943	0.720	0.987
Fzd2	Wnt1	2108516	2095926	10090.ENSMUSP00000091463	10090.ENSMUSP00000023734	0	0	0	0	0	0.257	0.950	0.680	0.987
Fzd5	Wnt1	2104983	2095926	10090.ENSMUSP00000067783	10090.ENSMUSP00000023734	0	0	0	0	0	0.257	0.947	0.711	0.987
Axin1	Ppp2ca	2105990	2094923	10090.ENSMUSP00000073974	10090.ENSMUSP00000020608	0	0	0	0	0	0.733	0.559	0.900	0.987
Tyms	Shmt1	2096725	2094559	10090.ENSMUSP00000026846	10090.ENSMUSP00000018744	0.069	0	0	0	0.208	0	0.900	0.855	0.987
Apc	Btrc	2106775	2105396	10090.ENSMUSP00000078337	10090.ENSMUSP00000070728	0	0	0	0	0	0.699	0.954	0.157	0.987
Atic	Shmt1	2096883	2094559	10090.ENSMUSP00000027384	10090.ENSMUSP00000018744	0.066	0	0	0	0.760	0	0.900	0.465	0.986
Wnt7b	Fzd5	2111258	2104983	10090.ENSMUSP00000105051	10090.ENSMUSP00000067783	0	0	0	0	0	0.257	0.886	0.854	0.986
Atic	Shmt2	2096883	2096621	10090.ENSMUSP00000027384	10090.ENSMUSP00000026470	0.066	0	0	0	0.789	0	0.900	0.397	0.986
Atic	Mthfd1	2096883	2095182	10090.ENSMUSP00000027384	10090.ENSMUSP00000021443	0.450	0	0	0	0.539	0	0.900	0.539	0.986
Sfrp1	Wnt3a	2098938	2094044	10090.ENSMUSP00000033952	10090.ENSMUSP00000010044	0	0	0	0	0	0.576	0.900	0.714	0.986
Wnt5a	Fzd1	2104589	2103611	10090.ENSMUSP00000064878	10090.ENSMUSP00000058629	0	0	0	0	0	0.273	0.882	0.854	0.986
Fzd5	Wnt3	2104983	2093060	10090.ENSMUSP00000067783	10090.ENSMUSP00000000127	0	0	0	0	0	0.257	0.943	0.711	0.986
Mtr	Mtrr	2109768	2100260	10090.ENSMUSP00000097442	10090.ENSMUSP00000039810	0	0	0	0	0.078	0	0.900	0.862	0.986
Slc19a1	Fpgs	2110682	2097116	10090.ENSMUSP00000101050	10090.ENSMUSP00000028148	0	0	0	0	0.110	0	0.900	0.865	0.986
Ccnd1	Jun	2108527	2102864	10090.ENSMUSP00000091495	10090.ENSMUSP00000054270	0	0	0	0	0	0	0.908	0.855	0.986
Ep300	Myc	2104849	2095683	10090.ENSMUSP00000066789	10090.ENSMUSP00000022971	0	0	0	0	0	0.900	0.559	0.717	0.986
Fzd8	Wnt7a	2100231	2098401	10090.ENSMUSP00000039660	10090.ENSMUSP00000032180	0	0	0	0	0	0.257	0.886	0.839	0.985
Myc	Fos	2095683	2095256	10090.ENSMUSP00000022971	10090.ENSMUSP00000021674	0	0	0	0	0	0	0.336	0.979	0.985
Fzd7	Wnt1	2100625	2095926	10090.ENSMUSP00000041825	10090.ENSMUSP00000023734	0	0	0	0	0	0.257	0.950	0.641	0.985
Fzd7	Wnt2	2100625	2094091	10090.ENSMUSP00000041825	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.944	0.687	0.985
Fzd7	Dvl1	2100625	2098025	10090.ENSMUSP00000041825	10090.ENSMUSP00000030948	0	0	0	0	0	0.300	0.908	0.796	0.985
Fzd1	Wnt8a	2103611	2094132	10090.ENSMUSP00000058629	10090.ENSMUSP00000012426	0	0	0	0	0	0.204	0.961	0.581	0.985
Fzd5	Dvl1	2104983	2098025	10090.ENSMUSP00000067783	10090.ENSMUSP00000030948	0	0	0	0	0	0.300	0.894	0.813	0.985
Fzd2	Axin1	2108516	2105990	10090.ENSMUSP00000091463	10090.ENSMUSP00000073974	0	0	0	0	0	0	0.928	0.801	0.985
Wnt8b	Lrp6	2100807	2098447	10090.ENSMUSP00000042867	10090.ENSMUSP00000032322	0	0	0	0	0	0.165	0.961	0.569	0.984
Fzd3	Dvl1	2112550	2098025	10090.ENSMUSP00000115325	10090.ENSMUSP00000030948	0	0	0	0	0	0.300	0.882	0.823	0.984
Lrp5	Wnt3a	2096438	2094044	10090.ENSMUSP00000025856	10090.ENSMUSP00000010044	0	0	0	0	0	0	0.900	0.854	0.984
Lrp5	Wnt1	2096438	2095926	10090.ENSMUSP00000025856	10090.ENSMUSP00000023734	0	0	0	0	0	0.510	0.900	0.712	0.984
Fzd4	Wnt7a	2102112	2098401	10090.ENSMUSP00000049852	10090.ENSMUSP00000032180	0	0	0	0	0	0.257	0.879	0.839	0.984
Fzd1	Wnt8b	2103611	2100807	10090.ENSMUSP00000058629	10090.ENSMUSP00000042867	0	0	0	0	0	0.204	0.961	0.538	0.984
Wnt5a	Fzd8	2104589	2100231	10090.ENSMUSP00000064878	10090.ENSMUSP00000039660	0	0	0	0	0	0.347	0.900	0.782	0.984
Fzd2	Wnt8b	2108516	2100807	10090.ENSMUSP00000091463	10090.ENSMUSP00000042867	0	0	0	0	0	0.204	0.946	0.669	0.984
Fzd2	Wnt8a	2108516	2094132	10090.ENSMUSP00000091463	10090.ENSMUSP00000012426	0	0	0	0	0	0.204	0.946	0.637	0.983
Wnt7b	Fzd8	2111258	2100231	10090.ENSMUSP00000105051	10090.ENSMUSP00000039660	0	0	0	0	0	0.257	0.886	0.823	0.983
Lrp6	Wnt7a	2098447	2098401	10090.ENSMUSP00000032322	10090.ENSMUSP00000032180	0	0	0	0	0	0.198	0.886	0.831	0.983
Wnt5b	Fzd2	2112347	2108516	10090.ENSMUSP00000113188	10090.ENSMUSP00000091463	0	0	0	0	0	0.273	0.882	0.816	0.983
Fzd4	Dvl2	2102112	2094637	10090.ENSMUSP00000049852	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.900	0.779	0.983
Fzd4	Wnt3a	2102112	2094044	10090.ENSMUSP00000049852	10090.ENSMUSP00000010044	0	0	0	0	0	0.257	0.900	0.791	0.983
Wnt5b	Fzd1	2112347	2103611	10090.ENSMUSP00000113188	10090.ENSMUSP00000058629	0	0	0	0	0	0.273	0.882	0.806	0.982
Gcsh	Shmt1	2099753	2094559	10090.ENSMUSP00000037131	10090.ENSMUSP00000018744	0.398	0	0	0	0.304	0	0.900	0.624	0.982
Sardh	Shmt2	2110430	2096621	10090.ENSMUSP00000099950	10090.ENSMUSP00000026470	0.288	0	0	0	0.403	0.166	0.900	0.576	0.982
Wnt7b	Lrp5	2111258	2096438	10090.ENSMUSP00000105051	10090.ENSMUSP00000025856	0	0	0	0	0	0.777	0.800	0.633	0.982
Ccnd1	Fos	2108527	2095256	10090.ENSMUSP00000091495	10090.ENSMUSP00000021674	0	0	0	0	0	0.070	0.908	0.809	0.982
Wnt5b	Fzd7	2112347	2100625	10090.ENSMUSP00000113188	10090.ENSMUSP00000041825	0	0	0	0	0	0.273	0.882	0.810	0.982
Fzd9	Lrp6	2102740	2098447	10090.ENSMUSP00000053551	10090.ENSMUSP00000032322	0	0	0	0	0	0.165	0.894	0.819	0.982
Lrp6	Wnt2	2098447	2094091	10090.ENSMUSP00000032322	10090.ENSMUSP00000010941	0	0	0	0	0	0.198	0.908	0.778	0.982
Fzd7	Wnt3	2100625	2093060	10090.ENSMUSP00000041825	10090.ENSMUSP00000000127	0	0	0	0	0	0.303	0.941	0.601	0.982
Mthfr	Mthfd1	2105247	2095182	10090.ENSMUSP00000069774	10090.ENSMUSP00000021443	0.587	0	0	0	0	0	0.900	0.589	0.981
Fzd8	Dvl1	2100231	2098025	10090.ENSMUSP00000039660	10090.ENSMUSP00000030948	0	0	0	0	0	0.300	0.894	0.768	0.981
Ccnd1	Ep300	2108527	2104849	10090.ENSMUSP00000091495	10090.ENSMUSP00000066789	0	0	0	0	0	0.374	0.953	0.414	0.981
Tyms	Shmt2	2096725	2096621	10090.ENSMUSP00000026846	10090.ENSMUSP00000026470	0.069	0	0	0	0.126	0	0.900	0.799	0.981
Tcf7	Ep300	2107629	2104849	10090.ENSMUSP00000084055	10090.ENSMUSP00000066789	0	0	0	0	0	0.527	0.880	0.693	0.981
Lrp6	Wnt8a	2098447	2094132	10090.ENSMUSP00000032322	10090.ENSMUSP00000012426	0	0	0	0	0	0.165	0.961	0.475	0.981
Mthfd1	Ftcd	2095182	2093205	10090.ENSMUSP00000021443	10090.ENSMUSP00000001183	0.587	0	0	0	0	0	0.900	0.595	0.981
Fzd7	Lrp6	2100625	2098447	10090.ENSMUSP00000041825	10090.ENSMUSP00000032322	0	0	0	0	0	0.165	0.893	0.808	0.981
Fzd1	Lrp5	2103611	2096438	10090.ENSMUSP00000058629	10090.ENSMUSP00000025856	0	0	0	0	0	0.510	0.900	0.642	0.980
Wnt4	Lrp6	2099636	2098447	10090.ENSMUSP00000036580	10090.ENSMUSP00000032322	0	0	0	0	0	0.198	0.878	0.815	0.980
Wnt7b	Lrp6	2111258	2098447	10090.ENSMUSP00000105051	10090.ENSMUSP00000032322	0	0	0	0	0	0.198	0.886	0.799	0.980
Myc	Cdk4	2095683	2093868	10090.ENSMUSP00000022971	10090.ENSMUSP00000006911	0	0	0	0	0.147	0.110	0.559	0.949	0.980
Sfrp1	Sfrp2	2098938	2097579	10090.ENSMUSP00000033952	10090.ENSMUSP00000029625	0	0	0	0.903	0.105	0.777	0.900	0.886	0.980
Mat2a	Mat2b	2107985	2101810	10090.ENSMUSP00000087118	10090.ENSMUSP00000048222	0	0	0	0	0	0.911	0	0.790	0.980
Mtr	Mthfd1	2109768	2095182	10090.ENSMUSP00000097442	10090.ENSMUSP00000021443	0.179	0	0	0	0	0	0.900	0.782	0.980
